Jama,Grupa,Masa_[g]
84,?,69
,,
,,
,,
,,
,,
,,
85,2A,5
85,2B,23
85,3A,22
85,3B,64
85,3C,96
85,?,5
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
GARNEK (86/85?),3B,733
,,
86,2B,28
86,3A,9
86,3B,221
86,3C,361
86,?,37
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
88,3B,5
88,3C,25
88,?,2
,,
90,3A,9
90,3B,11
90,?,7
,,
,,
,,
99,3A,33
,,
"""luźne""",2A,291
"""luźne""",3A,78
"""luźne""",3B,195
"""luźne""",3C,41
"""luźne""",?,49
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
104,2A,10
104,2B,37
104,3A,137
104,3B,662
104,3C,1955
104,?,253
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
ar I,3B,24
ar I,3C,94
ar I,?,72
,,
,,
,,
,,
,,
,,
,,
,,
,,
ar II,1,80
ar II,3A,82
ar II,3B,8
ar II,3C,19
,,
,,
ar III,3A,12
ar III,3B,31
ar III,3C,69
ar III,4,4
ar III,?,26
,,
,,
,,
,,
,,
,,
ar V,1,15
ar V,2B,16
ar V,3A,68
ar V,3B,299
ar V,3C,280
ar V,?,91
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
ar VI,3A,30
ar VI,3B,135
ar VI,3C,115
ar VI,?,23
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
ar VII,1,53
ar VII,2B,23
ar VII,3A,287
ar VII,3B,327
ar VII,3C,670
ar VII,4,104
ar VII,?,142
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
